subject,data,modality,layer,contrast,focus,runType,session,design,statType
sub-06,196.14482902057136,BOLD,7,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,209.58168151345052,BOLD,8,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,279.3252508215708,BOLD,9,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,350.69116424932713,BOLD,10,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,406.632924593412,BOLD,11,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,128.8394467688125,BOLD,1,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,241.06503406763076,BOLD,2,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,320.23837123087475,BOLD,3,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,406.9400850215428,BOLD,4,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,483.2119415492228,BOLD,5,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,536.5087875566984,BOLD,6,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,614.5151855696494,BOLD,7,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,677.2839139481665,BOLD,8,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,670.4569359348245,BOLD,9,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,680.065559387207,BOLD,10,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,645.0867178501227,BOLD,11,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,0.25942512780792365,VASO,1,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,1.038189743924886,VASO,2,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,1.739184928366116,VASO,3,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,2.6864040662914936,VASO,4,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,3.7532132681306094,VASO,5,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,4.425541659719066,VASO,6,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,5.120025156149223,VASO,7,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,5.050047080281755,VASO,8,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,4.199144938310021,VASO,9,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,2.1103810617109624,VASO,10,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,0.7369127227709844,VASO,11,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,1.0342452108958715,VASO,1,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,1.655131976213306,VASO,2,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,2.2603246599435804,VASO,3,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,2.878350512662404,VASO,4,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,3.300368550552489,VASO,5,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,3.4604487274038163,VASO,6,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,3.559792284645251,VASO,7,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,3.4351626097316474,VASO,8,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,2.953091106829648,VASO,9,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,2.3702845929599388,VASO,10,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,1.7110355730431202,VASO,11,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,13.70824414750804,VASO,1,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,47.500794088840486,VASO,2,visuotactile,v1,blockStim,ses-001,blockStim,cope
